Occupation,Hierarchy Levels,variable,value
 Painters and paperhangers ,2,Exposure to harmful substances or environments,4
" Painters, construction and maintenance ",3,Exposure to harmful substances or environments,4
" Plumbers, pipefitters, and steamfitters ",3,Exposure to harmful substances or environments,4
" Miscellaneous electrical and electronic equipment mechanics, installers, and repairers ",2,Exposure to harmful substances or environments,4
" Industrial machinery installation, repair, and maintenance workers ",2,Exposure to harmful substances or environments,4
" Miscellaneous installation, maintenance, and repair workers ",2,Exposure to harmful substances or environments,4
 Assemblers and fabricators ,1,Exposure to harmful substances or environments,4
 Woodworkers ,1,Exposure to harmful substances or environments,4
 Miscellaneous production workers ,2,Exposure to harmful substances or environments,4
 Light truck or delivery services drivers ,3,Exposure to harmful substances or environments,4
 Water transportation workers ,1,Exposure to harmful substances or environments,4
 Personal care and service occupations ,0,Contact with objects and equipment,4
 Office and administrative support occupations ,0,Contact with objects and equipment,4
" Material recording, scheduling, dispatching, and distributing workers ",1,Contact with objects and equipment,4
 Agricultural equipment operators ,3,Contact with objects and equipment,4
 Logging equipment operators ,3,Contact with objects and equipment,4
 Structural iron and steel workers ,2,Contact with objects and equipment,4
 Structural iron and steel workers ,3,Contact with objects and equipment,4
" Earth drillers, except oil and gas ",2,Contact with objects and equipment,4
" Earth drillers, except oil and gas ",3,Contact with objects and equipment,4
" Heating, air conditioning, and refrigeration mechanics and installers ",2,Contact with objects and equipment,4
" Heating, air conditioning, and refrigeration mechanics and installers ",3,Contact with objects and equipment,4
 Miscellaneous metalworkers and plastic workers ,2,Contact with objects and equipment,4
 Woodworkers ,1,Contact with objects and equipment,4
" Woodworking machine setters, operators, and tenders ",2,Contact with objects and equipment,4
 Buyers and purchasing agents ,2,Total fatal injuries (number),3
 Market research analysts and marketing specialists ,2,Total fatal injuries (number),3
 Market research analysts and marketing specialists ,3,Total fatal injuries (number),3
 Financial analysts ,3,Total fatal injuries (number),3
 Computer systems analysts ,3,Total fatal injuries (number),3
" Software developers, systems software ",3,Total fatal injuries (number),3
 Miscellaneous computer occupations ,2,Total fatal injuries (number),3
 Civil engineers ,2,Total fatal injuries (number),3
 Civil engineers ,3,Total fatal injuries (number),3
 Electrical engineers ,3,Total fatal injuries (number),3
 Conservation scientists and foresters ,2,Total fatal injuries (number),3
 Psychologists ,2,Total fatal injuries (number),3
 Clergy ,2,Total fatal injuries (number),3
 Clergy ,3,Total fatal injuries (number),3
" Middle school teachers, except special and career/technical education ",3,Total fatal injuries (number),3
" Other education, training, and library occupations ",1,Total fatal injuries (number),3
 Teacher assistants ,2,Total fatal injuries (number),3
 Teacher assistants ,3,Total fatal injuries (number),3
 Floral designers ,3,Total fatal injuries (number),3
 Graphic designers ,3,Total fatal injuries (number),3
" Actors, producers, and directors ",2,Total fatal injuries (number),3
" News analysts, reporters and correspondents ",2,Total fatal injuries (number),3
 Reporters and correspondents ,3,Total fatal injuries (number),3
 Phlebotomists ,3,Total fatal injuries (number),3
" Cooks, fast food ",3,Total fatal injuries (number),3
 Supervisors of personal care and service workers ,1,Total fatal injuries (number),3
 First-line supervisors of personal service workers ,2,Total fatal injuries (number),3
 First-line supervisors of personal service workers ,3,Total fatal injuries (number),3
" Morticians, undertakers, and funeral directors ",2,Total fatal injuries (number),3
" Morticians, undertakers, and funeral directors ",3,Total fatal injuries (number),3
 Miscellaneous personal care and service workers ,2,Total fatal injuries (number),3
" Hotel, motel, and resort desk clerks ",2,Total fatal injuries (number),3
" Hotel, motel, and resort desk clerks ",3,Total fatal injuries (number),3
 Receptionists and information clerks ,2,Total fatal injuries (number),3
 Receptionists and information clerks ,3,Total fatal injuries (number),3
 Helpers--roofers ,3,Total fatal injuries (number),3
 Mine cutting and channeling machine operators ,3,Total fatal injuries (number),3
" Electrical and electronics repairers, powerhouse, substation, and relay ",3,Total fatal injuries (number),3
 Outdoor power equipment and other small engine mechanics ,3,Total fatal injuries (number),3
 Millwrights ,3,Total fatal injuries (number),3
 Riggers ,3,Total fatal injuries (number),3
" Helpers--installation, maintenance, and repair workers ",3,Total fatal injuries (number),3
" Electrical, electronics, and electromechanical assemblers ",2,Total fatal injuries (number),3
 Electrical and electronic equipment assemblers ,3,Total fatal injuries (number),3
" Butchers and other meat, poultry, and fish processing workers ",2,Total fatal injuries (number),3
 Miscellaneous food processing workers ,2,Total fatal injuries (number),3
 Cabinetmakers and bench carpenters ,2,Total fatal injuries (number),3
 Cabinetmakers and bench carpenters ,3,Total fatal injuries (number),3
" Power plant operators, distributors, and dispatchers ",2,Total fatal injuries (number),3
 Power plant operators ,3,Total fatal injuries (number),3
" Crushing, grinding, polishing, mixing, and blending workers ",2,Total fatal injuries (number),3
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",2,Total fatal injuries (number),3
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",3,Total fatal injuries (number),3
" Furnace, kiln, oven, drier, and kettle operators and tenders ",2,Total fatal injuries (number),3
" Furnace, kiln, oven, drier, and kettle operators and tenders ",3,Total fatal injuries (number),3
 Helpers--production workers ,3,Total fatal injuries (number),3
 Locomotive engineers and operators ,2,Total fatal injuries (number),3
 Locomotive engineers ,3,Total fatal injuries (number),3
 Parking lot attendants ,2,Total fatal injuries (number),3
 Parking lot attendants ,3,Total fatal injuries (number),3
 Transportation inspectors ,2,Total fatal injuries (number),3
 Transportation inspectors ,3,Total fatal injuries (number),3
" Pump operators, except wellhead pumpers ",3,Total fatal injuries (number),3
" Transportation, storage, and distribution managers ",2,Violence and other injuries by persons or animals,3
" Transportation, storage, and distribution managers ",3,Violence and other injuries by persons or animals,3
 Software developers and programmers ,2,Violence and other injuries by persons or animals,3
 Biological scientists ,2,Violence and other injuries by persons or animals,3
 Psychologists ,2,Violence and other injuries by persons or animals,3
" Athletes, coaches, umpires, and related workers ",2,Violence and other injuries by persons or animals,3
 Photographers ,2,Violence and other injuries by persons or animals,3
 Photographers ,3,Violence and other injuries by persons or animals,3
 Physicians and surgeons ,2,Violence and other injuries by persons or animals,3
 Waiters and waitresses ,2,Violence and other injuries by persons or animals,3
 Waiters and waitresses ,3,Violence and other injuries by persons or animals,3
 Other food preparation and serving related workers ,1,Violence and other injuries by persons or animals,3
 Maids and housekeeping cleaners ,3,Violence and other injuries by persons or animals,3
" Barbers, hairdressers, hairstylists and cosmetologists ",2,Violence and other injuries by persons or animals,3
 Real estate brokers and sales agents ,2,Violence and other injuries by persons or animals,3
 Financial clerks ,1,Violence and other injuries by persons or animals,3
 Fishing and hunting workers ,1,Violence and other injuries by persons or animals,3
 Fishers and related fishing workers ,2,Violence and other injuries by persons or animals,3
